SI_Number,SI_Type,SI_Subject,Case Number,SI_CreatedDate,Opened Date_Day of Week
SI - 4589,Tracking,Unable to deploy the Five9 Softphone MSI,1,2023-04-06T11:28:35,Tuesday
SI - 4588,Defect,,2,2023-04-06T08:00:15,Wednesday
SI - 4586,Tracking,Verint Custom Data Name Was Changed,1,2023-04-05T07:15:26,Tuesday
SI - 4586,Tracking,Verint Custom Data Name Was Changed,1,2023-04-05T07:15:26,Thursday
SI - 4586,Tracking,Verint Custom Data Name Was Changed,1,2023-04-05T07:15:26,Wednesday
SI - 4584,Tracking,Standard Chat following business hours even when the flag is disabled,1,2023-04-04T13:47:27,Tuesday
SI - 4583,Tracking,Closed email interaction shows [Not Defined]  disposition in Reports,1,2023-04-04T07:27:33,Wednesday
SI - 4583,Tracking,Closed email interaction shows [Not Defined]  disposition in Reports,1,2023-04-04T07:27:33,Thursday
SI - 4583,Tracking,Closed email interaction shows [Not Defined]  disposition in Reports,1,2023-04-04T07:27:33,Friday
SI - 4583,Tracking,Closed email interaction shows [Not Defined]  disposition in Reports,1,2023-04-04T07:27:33,Tuesday
SI - 4582,Defect,VO | Chats and Email Transcript not going to VO,1,2023-04-03T12:05:21,Friday
SI - 4582,Defect,VO | Chats and Email Transcript not going to VO,2,2023-04-03T12:05:21,Tuesday
SI - 4582,Defect,VO | Chats and Email Transcript not going to VO,2,2023-04-03T12:05:21,Friday
SI - 4582,Defect,VO | Chats and Email Transcript not going to VO,2,2023-04-03T12:05:21,Thursday
SI - 4581,Defect,,1,2023-04-03T07:51:47,Wednesday
