case topic,Case Number,Case Open Date,Opened Date_Day of Week
Unable to Login,1,2023-04-27T08:52:28,Thursday
Scheduled Report,1,2023-04-27T08:52:50,Thursday
Dashboard Not Updating,1,2023-04-27T08:52:55,Thursday
Error Message,1,2023-04-27T08:54:05,Thursday
Launching Application,1,2023-04-27T08:54:17,Thursday
Launching Application,1,2023-04-27T08:55:08,Thursday
Unable to Login,1,2023-04-27T08:55:27,Thursday
Connection Issue,1,2023-04-27T08:55:28,Thursday
Calls Failing,1,2023-04-27T08:57:32,Thursday
Connection Issue,1,2023-04-27T08:57:44,Thursday
Error Message,1,2023-04-27T08:58:24,Thursday
IVR,1,2023-04-27T08:58:59,Thursday
IVR,1,2023-04-27T09:00:46,Thursday
Dialing Behavior,1,2023-04-27T09:06:18,Thursday
Unable to Login,1,2023-04-27T09:06:50,Thursday
Unable to Login,1,2023-04-27T09:08:02,Thursday
Campaign Options,1,2023-04-27T09:09:42,Thursday
List Sync Plus,1,2023-04-27T09:11:05,Thursday
Error Message,1,2023-04-27T09:17:26,Thursday
Variables,1,2023-04-27T09:18:43,Thursday
IVR,1,2023-04-27T09:18:45,Thursday
Trusted IP Range,1,2023-04-27T09:19:59,Thursday
IVR,1,2023-04-27T09:20:07,Thursday
Connection Issue,1,2023-04-27T09:22:39,Thursday
Users Management,1,2023-04-27T09:23:47,Thursday
IVR,1,2023-04-27T09:23:54,Thursday
Launching Application,1,2023-04-27T09:26:34,Thursday
Dialing Behavior,1,2023-04-27T09:27:11,Thursday
Queue Analytics,1,2023-04-27T09:28:32,Thursday
Audio Issues,1,2023-04-27T09:31:56,Thursday
ANI,1,2023-04-27T09:31:59,Thursday
Users Management,1,2023-04-27T09:33:40,Thursday
Password Policies,1,2023-04-27T09:35:08,Thursday
User Access,1,2023-04-27T09:35:23,Thursday
Unable to Login,1,2023-04-27T09:36:19,Thursday
Agent State,1,2023-04-27T09:37:01,Thursday
IVR,1,2023-04-27T09:37:31,Thursday
Evaluations,1,2023-04-27T09:38:53,Thursday
Launching Application,1,2023-04-27T09:41:22,Thursday
Users Management,1,2023-04-27T09:42:10,Thursday
Launching Application,1,2023-04-27T09:44:13,Thursday
Unable to Login,1,2023-04-27T09:44:41,Thursday
Connectors,1,2023-04-27T09:45:30,Thursday
Widget,1,2023-04-27T09:46:21,Thursday
Audio Issues,1,2023-04-27T09:49:32,Thursday
Call Recording,1,2023-04-27T09:49:42,Thursday
Forcibly Logout,1,2023-04-27T09:50:02,Thursday
IVR,1,2023-04-27T09:50:35,Thursday
Request Management,1,2023-04-27T09:51:19,Thursday
Sound Options,1,2023-04-27T09:51:56,Thursday
Users Management,1,2023-04-27T09:52:48,Thursday
Custom Report,1,2023-04-27T09:53:55,Thursday
Error Message,1,2023-04-27T09:54:58,Thursday
Users Management,1,2023-04-27T09:55:27,Thursday
Campaign Options,1,2023-04-27T09:57:26,Thursday
Single Sign-On,1,2023-04-27T09:58:55,Thursday
Activity Logging,1,2023-04-27T09:59:07,Thursday
Statistics,1,2023-04-27T09:59:51,Thursday
Audio Issues on Echo,1,2023-04-27T10:01:11,Thursday
ANI,1,2023-04-27T10:01:24,Thursday
Error Message,1,2023-04-27T10:08:06,Thursday
Softphone,1,2023-04-27T10:12:49,Thursday
Launching Application,1,2023-04-27T10:13:01,Thursday
Launching Application,1,2023-04-27T10:13:04,Thursday
Users,1,2023-04-27T10:15:03,Thursday
Launching Application,1,2023-04-27T10:17:05,Thursday
GR Moves,1,2023-04-27T10:20:50,Thursday
Users,1,2023-04-27T10:22:40,Thursday
Unable to Login,1,2023-04-27T10:23:39,Thursday
Single Sign-On,1,2023-04-27T10:24:03,Thursday
Error Message,1,2023-04-27T10:24:42,Thursday
Call Features,1,2023-04-27T10:24:52,Thursday
FTP,1,2023-04-27T10:25:06,Thursday
Launching Application,1,2023-04-27T10:26:44,Thursday
Skills,1,2023-04-27T10:26:56,Thursday
Standard Report,1,2023-04-27T10:29:02,Thursday
Users Management,1,2023-04-27T10:32:29,Thursday
